iter	RMSE
0	810.728064
1	798.6299867
2	783.9799295
3	769.2031872
4	757.0070845
5	748.2442035
6	737.1795768
7	727.1274654
8	716.9300684
9	710.01066
10	701.92701
11	693.9694656
12	686.3745601
13	679.9876617
14	673.6060226
15	668.5403923
16	665.5244297
17	659.4475196
18	655.7186049
19	652.1289042
20	648.1363295
21	644.3372746
22	640.0264641
23	636.1063916
24	633.1191115
25	628.836202
26	625.9378169
27	624.7128081
28	621.5663312
29	618.9839838
30	615.7020782
31	611.29819
32	608.9660553
33	606.448259
34	606.0352315
35	603.2596107
36	600.796968
37	599.6071026
38	597.6194548
39	594.6915109
40	593.7324232
41	591.7272247
42	590.2765018
43	588.3320433
44	586.0490206
45	583.7068754
46	582.3042836
47	580.6294645
48	576.7799274
49	574.2358742
50	573.0534459
51	570.5744018
52	568.127059
53	566.4545078
54	565.3544126
55	564.136928
56	562.8447504
57	562.0419296
58	561.6258714
59	561.1165116
60	558.7457959
61	557.2359219
62	556.1850253
63	554.8682572
64	553.5015234
65	551.4188168
66	549.8782959
67	547.6732067
68	546.9734038
69	545.6064996
